family,horizon,coverage,split,cost_bps,trade_count,trades_per_day,mean_net_bps,median_net_bps,win_rate,profit_factor,daily_sharpe,max_drawdown,mean_daily_return,standard_error,t_stat,p_value,p_value_two_sided,effective_sample_size,average_holding_minutes,cost_break_even_bps
direction_ml,60,0.05,development,0.0,463,2.3266331658291457,61.55791860986905,56.5474720554548,0.7710583153347732,6.648311143743159,8.542922490977114,-0.02575843620166285,0.014322269505713253,0.004080405305043649,3.5100114902825923,0.0002240436651869089,0.0004480873303738178,199,60,61.55791860986905
direction_ml,60,0.05,development,12.0,463,2.3266331658291457,49.557918609869056,44.5474720554548,0.7365010799136069,4.58545130783883,7.75312189893176,-0.03524308537701171,0.011530309706718275,0.0035277337626526246,3.2684750274488508,0.0005406435949436541,0.0010812871898873081,199,60,61.55791860986905
direction_ml,60,0.05,development,30.0,463,2.3266331658291457,31.55791860986905,26.547472055454797,0.6609071274298056,2.6358497134533816,6.021976772299728,-0.04937854852409196,0.007342370008225816,0.0027144844266848837,2.704885663018088,0.003416395161282891,0.006832790322565782,199,60,61.55791860986905
direction_ml,60,0.05,confirmation,0.0,145,1.5934065934065933,11.370076384475565,5.307655524083372,0.5241379310344828,1.4130566722833549,3.912281436274391,-0.04296439095501914,0.001811715467855997,0.0008932950390666449,2.028126641953547,0.021273662221801624,0.04254732444360325,91,60,11.370076384475565
direction_ml,60,0.05,confirmation,12.0,145,1.5934065934065933,-0.6299236155244334,-6.692344475916628,0.4896551724137931,0.9812017351549333,-0.2501434219186981,-0.07937855014745243,-0.00010037244423191541,0.0005824936473701965,-0.1723150882161037,0.5684050884543865,0.863189823091227,91,60,11.370076384475565
direction_ml,60,0.05,confirmation,30.0,145,1.5934065934065933,-18.629923615524433,-24.692344475916627,0.4068965517241379,0.5681204815508547,-7.052406422646629,-0.2452258518088779,-0.002968504312363783,0.0009179132571116825,-3.233970409910536,0.9993895894826763,0.0012208210346473577,91,60,11.370076384475565
direction_ml,60,0.05,final,0.0,83,1.1690140845070423,-14.859034436207564,-14.786909192466906,0.42168674698795183,0.6371305975679384,-3.2269356053945915,-0.14638058460147718,-0.00173704205381018,0.0010463514945558926,-1.660094206247051,0.9515522488566468,0.0968955022867064,71,60,-14.859034436207564
direction_ml,60,0.05,final,12.0,83,1.1690140845070423,-26.85903443620756,-26.786909192466908,0.3493975903614458,0.44573403305089176,-5.381177565315256,-0.2197246061657503,-0.003139858955218631,0.0013070717451349227,-2.4022085757002714,0.9918517931986559,0.016296413602688214,71,60,-14.859034436207564
direction_ml,60,0.05,final,30.0,83,1.1690140845070423,-44.85903443620756,-44.78690919246691,0.25301204819277107,0.2683287816927025,-7.699875560547709,-0.3186663593058676,-0.005244084307331307,0.001796910168340931,-2.918389800294311,0.9982407789279828,0.003518442144034459,71,60,-14.859034436207564
wick_rejection,60,0.05,development,0.0,463,2.3266331658291457,2.9717519142476077,7.436181406383843,0.5291576673866091,1.073942206716899,0.83135084165275,-0.11064607918254965,0.0006914176564304734,0.0007881741771897994,0.877239671687409,0.19017823613413704,0.38035647226827407,199,60,2.9717519142476077
wick_rejection,60,0.05,development,12.0,463,2.3266331658291457,-9.028248085752393,-4.563818593616157,0.48596112311015116,0.804136797801052,-2.5366066671148886,-0.4080779379276499,-0.002100542142564502,0.0008349925795657464,-2.515641688285336,0.9940592045814616,0.011881590837076862,199,60,2.9717519142476077
wick_rejection,60,0.05,development,30.0,463,2.3266331658291457,-27.028248085752395,-22.563818593616155,0.41252699784017277,0.5175631041184734,-6.820277662169746,-0.7334688482933405,-0.006288481841056963,0.0014289600595890006,-4.400740103866629,0.9999946058860856,1.078822782893961e-05,199,60,2.9717519142476077
wick_rejection,60,0.05,confirmation,0.0,145,1.5934065934065933,9.163612538858702,11.180290213501625,0.5379310344827586,1.3202294204269847,3.431466794051453,-0.047982617318010345,0.0014601360638840796,0.0010307975739362672,1.4165109627764392,0.07831297836611638,0.15662595673223276,91,60,9.163612538858702
wick_rejection,60,0.05,confirmation,12.0,145,1.5934065934065933,-2.836387461141297,-0.8197097864983753,0.496551724137931,0.9176411253527329,-1.1520231229508513,-0.11040437597979769,-0.00045195184820383293,0.0007373380746556964,-0.612950644675272,0.7300455126457333,0.5399089747085335,91,60,9.163612538858702
wick_rejection,60,0.05,confirmation,30.0,145,1.5934065934065933,-20.836387461141296,-18.819709786498375,0.38620689655172413,0.5287679900738985,-7.2536680882228515,-0.261910580626342,-0.0033200837163357014,0.0009780770920226531,-3.394501050494704,0.9996562311186877,0.0006875377626245873,91,60,9.163612538858702
wick_rejection,60,0.05,final,0.0,83,1.1690140845070423,-15.257525944735866,-15.485678061601428,0.37349397590361444,0.6292033189544297,-3.6750417390024537,-0.15605320014346624,-0.001783626272412784,0.0011082828267339065,-1.6093602006530272,0.9462311987275374,0.10753760254492528,71,60,-15.257525944735866
wick_rejection,60,0.05,final,12.0,83,1.1690140845070423,-27.25752594473586,-27.485678061601426,0.3132530120481928,0.44600969168239335,-6.176327180578744,-0.22258069372751665,-0.003186443173821234,0.0012545731739927368,-2.53986235309036,0.994455194805273,0.011089610389454095,71,60,-15.257525944735866
wick_rejection,60,0.05,final,30.0,83,1.1690140845070423,-45.25752594473586,-45.485678061601426,0.26506024096385544,0.2684748304210256,-8.824828589134011,-0.3269890377750906,-0.00529066852593391,0.0016408901082054527,-3.2242674262446562,0.9993685230129136,0.0012629539741728984,71,60,-15.257525944735866
impulse_reversal_15,120,0.2,development,0.0,805,4.025,3.1013304170747693,8.632291432817155,0.537888198757764,1.0788374707346269,1.197082119910407,-0.2120835163954674,0.001248285492872594,0.0013098858589357463,0.9529727222849774,0.17030194583775515,0.3406038916755103,200,120,3.1013304170747693
impulse_reversal_15,120,0.2,development,12.0,805,4.025,-8.898669582925232,-3.367708567182845,0.4894409937888199,0.8031652089500821,-3.3068597382101386,-0.5860281784010366,-0.0035817145071274053,0.0015662725555331417,-2.2867760112851045,0.9888955498155046,0.022208900368990675,200,120,3.1013304170747693
