family,horizon,coverage,activation,trigger_bps,target_bps,stop_bps,split,cost_bps,trade_count,trades_per_day,mean_net_bps,median_net_bps,win_rate,profit_factor,daily_sharpe,max_drawdown,mean_daily_return,standard_error,t_stat,p_value,p_value_two_sided,effective_sample_size,cost_break_even_bps
barrier_a5_k5_t40_s20,30,0.05,5,5,40,20,development,0.0,786,3.949748743718593,8.383571604104752,-19.999999999998764,0.4681933842239186,1.7901748466587581,7.9484731418385834,-0.016868347500307523,0.0033113001411187613,0.000768276087186508,4.310039315742629,8.161276224317178e-06,1.6322552448634355e-05,199,8.383571604104752
barrier_a5_k5_t40_s20,30,0.05,5,5,40,20,development,12.0,786,3.949748743718593,-3.6164283958952463,-31.999999999998764,0.4643765903307888,0.787391207747338,-4.413937475809547,-0.26466147728691747,-0.0014283983513435497,0.0004890815893560354,-2.9205727273935933,0.9982530568107755,0.0034938863784491035,199,8.383571604104752
barrier_a5_k5_t40_s20,30,0.05,5,5,40,20,development,30.0,786,3.949748743718593,-21.616428395895245,-49.999999999998764,0.4592875318066158,0.19018339602544204,-11.233326794651934,-0.8233155208293923,-0.008537946090037017,0.0019007684805081636,-4.491839052252397,0.9999964694610938,7.0610778124067075e-06,199,8.383571604104752
barrier_a5_k5_t40_s20,30,0.05,5,5,40,20,confirmation,0.0,234,2.5714285714285716,7.848603018273699,-19.999999999998764,0.4700854700854701,1.7509846323372678,6.305089429093018,-0.009976000000000429,0.002018212204698951,0.0008738683675094679,2.3095151166197634,0.010457506913127974,0.02091501382625595,91,7.848603018273699
barrier_a5_k5_t40_s20,30,0.05,5,5,40,20,confirmation,12.0,234,2.5714285714285716,-4.151396981726299,-31.999999999998764,0.46153846153846156,0.7536794232033145,-5.868469466624294,-0.08755337841791988,-0.0010675020810153343,0.0003914635858985514,-2.7269511634524792,0.9968038750446735,0.006392249910652904,91,7.848603018273699
barrier_a5_k5_t40_s20,30,0.05,5,5,40,20,confirmation,30.0,234,2.5714285714285716,-22.151396981726297,-49.999999999998764,0.4444444444444444,0.17228994807169173,-10.62438588755207,-0.39680870559355685,-0.005696073509586762,0.0019143504841329032,-2.975460113912617,0.9985372530437318,0.0029254939125365363,91,7.848603018273699
barrier_a5_k5_t40_s20,30,0.05,5,5,40,20,final,0.0,120,1.7142857142857142,4.455597929523146,-19.99999999999988,0.4166666666666667,1.3819083939591237,3.6869794135374874,-0.029638116166773698,0.0007638167879182533,0.0006376200161456319,1.1979184601755006,0.11547438117920611,0.23094876235841222,70,4.455597929523146
barrier_a5_k5_t40_s20,30,0.05,5,5,40,20,final,12.0,120,1.7142857142857142,-7.544402070476852,-31.99999999999988,0.4083333333333333,0.597223448293451,-7.127852201306179,-0.0932498816130416,-0.0012933260692246037,0.0004111958987935901,-3.1452795930579565,0.9991703591488424,0.0016592817023152121,70,4.455597929523146
barrier_a5_k5_t40_s20,30,0.05,5,5,40,20,final,30.0,120,1.7142857142857142,-25.54440207047685,-49.99999999999988,0.39166666666666666,0.13475977157972216,-13.166336364540523,-0.26107758811230475,-0.00437904035493889,0.00102455369005287,-4.274095537846258,0.9999904042630962,1.9191473807697022e-05,70,4.455597929523146
barrier_a5_k5_t40_s30,30,0.05,5,5,40,30,development,0.0,786,3.949748743718593,7.402126969279254,39.999999999998764,0.5305343511450382,1.534511502230873,6.322330142189919,-0.017333345947571077,0.0029236541697756253,0.0007143637661495957,4.092668621106099,2.1321846594016504e-05,4.264369318803301e-05,199,7.402126969279254
barrier_a5_k5_t40_s30,30,0.05,5,5,40,30,development,12.0,786,3.949748743718593,-4.597873030720746,27.999999999998764,0.5254452926208651,0.7643543933667059,-4.258758948265559,-0.3244095703733575,-0.0018160443226866861,0.0006054859103238753,-2.9993172288935366,0.9986470729294099,0.0027058541411802833,199,7.402126969279254
barrier_a5_k5_t40_s30,30,0.05,5,5,40,30,development,30.0,786,3.949748743718593,-22.597873030720745,9.999999999998764,0.5114503816793893,0.1985451635935685,-10.592487690046193,-0.8374245569762437,-0.008925592061380156,0.0020127967151479416,-4.434423006659229,0.999995384039772,9.231920456124418e-06,199,7.402126969279254
barrier_a5_k5_t40_s30,30,0.05,5,5,40,30,confirmation,0.0,234,2.5714285714285716,7.673794189419236,25.3859182366195,0.5470085470085471,1.5910648447583489,5.979640449659968,-0.01701223347681491,0.0019732613629935176,0.0008714764291227911,2.264273934499593,0.011778635851544334,0.02355727170308867,91,7.673794189419236
barrier_a5_k5_t40_s30,30,0.05,5,5,40,30,confirmation,12.0,234,2.5714285714285716,-4.326205810580766,13.3859182366195,0.5256410256410257,0.7670709461079,-5.1277717339263225,-0.09865753283242018,-0.0011124529227207682,0.0005076920806149341,-2.191196130877848,0.98578119876007,0.028437602479860154,91,7.673794189419236
barrier_a5_k5_t40_s30,30,0.05,5,5,40,30,confirmation,30.0,234,2.5714285714285716,-22.326205810580767,-4.614081763380501,0.49572649572649574,0.18652856854173108,-10.266225969203793,-0.4013774409105758,-0.005741024351292196,0.001982994877959063,-2.895128179655698,0.9981049813211278,0.0037900373577444755,91,7.673794189419236
barrier_a5_k5_t40_s30,30,0.05,5,5,40,30,final,0.0,120,1.7142857142857142,8.454771569681894,36.9285876942631,0.5583333333333333,1.6755474161655992,5.622750956553747,-0.02543050178261841,0.0014493894119454673,0.0008871432319581106,1.6337715937327977,0.051153409515204036,0.10230681903040807,70,8.454771569681894
barrier_a5_k5_t40_s30,30,0.05,5,5,40,30,final,12.0,120,1.7142857142857142,-3.5452284303181085,24.9285876942631,0.5333333333333333,0.8027481114140937,-3.0955297439906397,-0.07577795150784361,-0.0006077534451973897,0.0005306414476806613,-1.1453184591097645,0.8739613689275001,0.2520772621449999,70,8.454771569681894
barrier_a5_k5_t40_s30,30,0.05,5,5,40,30,final,30.0,120,1.7142857142857142,-21.545228430318108,6.928587694263101,0.5083333333333333,0.19122102373885969,-12.353893686221511,-0.22409802642770538,-0.003693467730911676,0.0008719290207932999,-4.2359729322362485,0.9999886217904379,2.2756419124173183e-05,70,8.454771569681894
barrier_a15_k5_t40_s20,30,0.05,15,5,40,20,development,0.0,786,3.949748743718593,8.383571604104752,-19.999999999998764,0.4681933842239186,1.7901748466587581,7.9484731418385834,-0.016868347500307523,0.0033113001411187613,0.000768276087186508,4.310039315742629,8.161276224317178e-06,1.6322552448634355e-05,199,8.383571604104752
barrier_a15_k5_t40_s20,30,0.05,15,5,40,20,development,12.0,786,3.949748743718593,-3.6164283958952463,-31.999999999998764,0.4643765903307888,0.787391207747338,-4.413937475809547,-0.26466147728691747,-0.0014283983513435497,0.0004890815893560354,-2.9205727273935933,0.9982530568107755,0.0034938863784491035,199,8.383571604104752
barrier_a15_k5_t40_s20,30,0.05,15,5,40,20,development,30.0,786,3.949748743718593,-21.616428395895245,-49.999999999998764,0.4592875318066158,0.19018339602544204,-11.233326794651934,-0.8233155208293923,-0.008537946090037017,0.0019007684805081636,-4.491839052252397,0.9999964694610938,7.0610778124067075e-06,199,8.383571604104752
barrier_a15_k5_t40_s20,30,0.05,15,5,40,20,confirmation,0.0,234,2.5714285714285716,7.848603018273699,-19.999999999998764,0.4700854700854701,1.7509846323372678,6.305089429093018,-0.009976000000000429,0.002018212204698951,0.0008738683675094679,2.3095151166197634,0.010457506913127974,0.02091501382625595,91,7.848603018273699
barrier_a15_k5_t40_s20,30,0.05,15,5,40,20,confirmation,12.0,234,2.5714285714285716,-4.151396981726299,-31.999999999998764,0.46153846153846156,0.7536794232033145,-5.868469466624294,-0.08755337841791988,-0.0010675020810153343,0.0003914635858985514,-2.7269511634524792,0.9968038750446735,0.006392249910652904,91,7.848603018273699
barrier_a15_k5_t40_s20,30,0.05,15,5,40,20,confirmation,30.0,234,2.5714285714285716,-22.151396981726297,-49.999999999998764,0.4444444444444444,0.17228994807169173,-10.62438588755207,-0.39680870559355685,-0.005696073509586762,0.0019143504841329032,-2.975460113912617,0.9985372530437318,0.0029254939125365363,91,7.848603018273699
barrier_a15_k5_t40_s20,30,0.05,15,5,40,20,final,0.0,120,1.7142857142857142,4.455597929523146,-19.99999999999988,0.4166666666666667,1.3819083939591237,3.6869794135374874,-0.029638116166773698,0.0007638167879182533,0.0006376200161456319,1.1979184601755006,0.11547438117920611,0.23094876235841222,70,4.455597929523146
