family,horizon,coverage,split,cost_bps,trade_count,trades_per_day,mean_net_bps,median_net_bps,win_rate,profit_factor,daily_sharpe,max_drawdown,mean_daily_return,standard_error,t_stat,p_value,p_value_two_sided,effective_sample_size,cost_break_even_bps
reversal_a15_k20,90,0.01,development,0.0,35,0.23972602739726026,-38.07540950124757,-20.559817986998862,0.4857142857142857,0.6313957123702623,-1.683844484291912,-0.15734903278111878,-0.0009127666661257982,0.0008246450330472905,-1.1068600786363485,0.8658227858710223,0.2683544282579553,146,-38.07540950124757
reversal_a15_k20,90,0.01,development,12.0,35,0.23972602739726026,-50.075409501247584,-32.559817986998866,0.4857142857142857,0.5425549458427187,-2.0463738090815866,-0.18656013219605394,-0.0012004378990025104,0.0009514848147956451,-1.2616469336511,0.8964620700767905,0.20707585984641907,146,-38.07540950124757
reversal_a15_k20,90,0.01,development,30.0,35,0.23972602739726026,-68.07540950124759,-50.559817986998866,0.45714285714285713,0.428869091451077,-2.4648182113116612,-0.22891985849899532,-0.001631944748317579,0.0011600571068741505,-1.4067796651105915,0.9202536328889964,0.15949273422200716,146,-38.07540950124757
reversal_a15_k20,90,0.01,confirmation,0.0,3,3.0,-59.848111578119905,-35.62767459996833,0.3333333333333333,0.0395854853430614,,0.0,-0.01795443347343597,0.0,,,,1,-59.848111578119905
reversal_a15_k20,90,0.01,confirmation,12.0,3,3.0,-71.84811157811991,-47.62767459996833,0.0,0.0,,0.0,-0.02155443347343597,0.0,,,,1,-59.848111578119905
reversal_a15_k20,90,0.01,confirmation,30.0,3,3.0,-89.84811157811991,-65.62767459996833,0.0,0.0,,0.0,-0.02695443347343597,0.0,,,,1,-59.848111578119905
reversal_a15_k20,90,0.01,final,0.0,5,0.07692307692307693,-1.8173428005718022,2.546647083053108,0.6,0.9451025377738453,-0.1422873999754449,-0.01118263503435224,-1.3979560004398484e-05,0.00023045693039976914,-0.06066018487770541,0.5241850794389827,0.9516298411220344,65,-1.8173428005718022
reversal_a15_k20,90,0.01,final,12.0,5,0.07692307692307693,-13.817342800571799,-9.453352916946892,0.4,0.652786824407328,-0.9434749666243976,-0.014782635034352287,-0.0001062872523120908,0.0002598269843163746,-0.4090693373967334,0.6587556111671489,0.6824887776657023,65,-1.8173428005718022
reversal_a15_k20,90,0.01,final,30.0,5,0.07692307692307693,-31.8173428005718,-27.45335291694689,0.4,0.3711364205528756,-1.7436482221321465,-0.020182635034352248,-0.00024474879077362923,0.00031694431672574756,-0.7722138491141041,0.7800061098203404,0.4399877803593193,65,-1.8173428005718022
reversal_a30_k20,90,0.01,development,0.0,35,0.23972602739726026,-38.07540950124757,-20.559817986998862,0.4857142857142857,0.6313957123702623,-1.683844484291912,-0.15734903278111878,-0.0009127666661257982,0.0008246450330472905,-1.1068600786363485,0.8658227858710223,0.2683544282579553,146,-38.07540950124757
reversal_a30_k20,90,0.01,development,12.0,35,0.23972602739726026,-50.075409501247584,-32.559817986998866,0.4857142857142857,0.5425549458427187,-2.0463738090815866,-0.18656013219605394,-0.0012004378990025104,0.0009514848147956451,-1.2616469336511,0.8964620700767905,0.20707585984641907,146,-38.07540950124757
reversal_a30_k20,90,0.01,development,30.0,35,0.23972602739726026,-68.07540950124759,-50.559817986998866,0.45714285714285713,0.428869091451077,-2.4648182113116612,-0.22891985849899532,-0.001631944748317579,0.0011600571068741505,-1.4067796651105915,0.9202536328889964,0.15949273422200716,146,-38.07540950124757
reversal_a30_k20,90,0.01,confirmation,0.0,3,3.0,-59.848111578119905,-35.62767459996833,0.3333333333333333,0.0395854853430614,,0.0,-0.01795443347343597,0.0,,,,1,-59.848111578119905
reversal_a30_k20,90,0.01,confirmation,12.0,3,3.0,-71.84811157811991,-47.62767459996833,0.0,0.0,,0.0,-0.02155443347343597,0.0,,,,1,-59.848111578119905
reversal_a30_k20,90,0.01,confirmation,30.0,3,3.0,-89.84811157811991,-65.62767459996833,0.0,0.0,,0.0,-0.02695443347343597,0.0,,,,1,-59.848111578119905
reversal_a30_k20,90,0.01,final,0.0,5,0.07692307692307693,-1.8173428005718022,2.546647083053108,0.6,0.9451025377738453,-0.1422873999754449,-0.01118263503435224,-1.3979560004398484e-05,0.00023045693039976914,-0.06066018487770541,0.5241850794389827,0.9516298411220344,65,-1.8173428005718022
reversal_a30_k20,90,0.01,final,12.0,5,0.07692307692307693,-13.817342800571799,-9.453352916946892,0.4,0.652786824407328,-0.9434749666243976,-0.014782635034352287,-0.0001062872523120908,0.0002598269843163746,-0.4090693373967334,0.6587556111671489,0.6824887776657023,65,-1.8173428005718022
reversal_a30_k20,90,0.01,final,30.0,5,0.07692307692307693,-31.8173428005718,-27.45335291694689,0.4,0.3711364205528756,-1.7436482221321465,-0.020182635034352248,-0.00024474879077362923,0.00031694431672574756,-0.7722138491141041,0.7800061098203404,0.4399877803593193,65,-1.8173428005718022
reversal_a5_k20,90,0.01,development,0.0,35,0.23972602739726026,-38.07540950124757,-20.559817986998862,0.4857142857142857,0.6313957123702623,-1.683844484291912,-0.15734903278111878,-0.0009127666661257982,0.0008246450330472905,-1.1068600786363485,0.8658227858710223,0.2683544282579553,146,-38.07540950124757
reversal_a5_k20,90,0.01,development,12.0,35,0.23972602739726026,-50.075409501247584,-32.559817986998866,0.4857142857142857,0.5425549458427187,-2.0463738090815866,-0.18656013219605394,-0.0012004378990025104,0.0009514848147956451,-1.2616469336511,0.8964620700767905,0.20707585984641907,146,-38.07540950124757
reversal_a5_k20,90,0.01,development,30.0,35,0.23972602739726026,-68.07540950124759,-50.559817986998866,0.45714285714285713,0.428869091451077,-2.4648182113116612,-0.22891985849899532,-0.001631944748317579,0.0011600571068741505,-1.4067796651105915,0.9202536328889964,0.15949273422200716,146,-38.07540950124757
reversal_a5_k20,90,0.01,confirmation,0.0,3,3.0,-59.848111578119905,-35.62767459996833,0.3333333333333333,0.0395854853430614,,0.0,-0.01795443347343597,0.0,,,,1,-59.848111578119905
reversal_a5_k20,90,0.01,confirmation,12.0,3,3.0,-71.84811157811991,-47.62767459996833,0.0,0.0,,0.0,-0.02155443347343597,0.0,,,,1,-59.848111578119905
reversal_a5_k20,90,0.01,confirmation,30.0,3,3.0,-89.84811157811991,-65.62767459996833,0.0,0.0,,0.0,-0.02695443347343597,0.0,,,,1,-59.848111578119905
reversal_a5_k20,90,0.01,final,0.0,5,0.07692307692307693,-1.8173428005718022,2.546647083053108,0.6,0.9451025377738453,-0.1422873999754449,-0.01118263503435224,-1.3979560004398484e-05,0.00023045693039976914,-0.06066018487770541,0.5241850794389827,0.9516298411220344,65,-1.8173428005718022
reversal_a5_k20,90,0.01,final,12.0,5,0.07692307692307693,-13.817342800571799,-9.453352916946892,0.4,0.652786824407328,-0.9434749666243976,-0.014782635034352287,-0.0001062872523120908,0.0002598269843163746,-0.4090693373967334,0.6587556111671489,0.6824887776657023,65,-1.8173428005718022
reversal_a5_k20,90,0.01,final,30.0,5,0.07692307692307693,-31.8173428005718,-27.45335291694689,0.4,0.3711364205528756,-1.7436482221321465,-0.020182635034352248,-0.00024474879077362923,0.00031694431672574756,-0.7722138491141041,0.7800061098203404,0.4399877803593193,65,-1.8173428005718022
continuation_a5_k5,30,0.05,development,0.0,786,3.949748743718593,7.849210856776153,8.627362720546486,0.5419847328244275,1.2876669466375743,3.4723512632473548,-0.11957201702772813,0.003100241072073395,0.0015620733981855945,1.984696158115514,0.02358914326045087,0.04717828652090174,199,7.849210856776153
continuation_a5_k5,30,0.05,development,12.0,786,3.949748743718593,-4.150789143223846,-3.372637279453513,0.47837150127226463,0.8748904177037294,-1.864731311625309,-0.35802577015147197,-0.001639457420388916,0.0011884616243495866,-1.3794786359098026,0.9161263855992836,0.16774722880143267,199,7.849210856776153
continuation_a5_k5,30,0.05,development,30.0,786,3.949748743718593,-22.150789143223843,-21.372637279453514,0.3791348600508906,0.4907812064775018,-7.6247116286611485,-0.8383431766871072,-0.008749005159082383,0.0019423040426963859,-4.504446763616193,0.9999966726961526,6.654607694875011e-06,199,7.849210856776153
continuation_a5_k5,30,0.05,confirmation,0.0,234,2.5714285714285716,13.309948152356165,10.313864139408658,0.5641025641025641,1.8084007607887795,5.826981541122607,-0.033487183001967735,0.0034225580963201563,0.0018253600982983788,1.8750043344930698,0.030396063612837067,0.060792127225674134,91,13.309948152356165
continuation_a5_k5,30,0.05,confirmation,12.0,234,2.5714285714285716,1.3099481523561625,-1.6861358605913424,0.47435897435897434,1.0592909317702788,0.9419054119401432,-0.07658363415146419,0.00033684381060587043,0.0008882362803945071,0.3792277100596053,0.35225938801873224,0.7045187760374645,91,13.309948152356165
